,순서,상품명,별점,도수,설명,맛과향,이미지
0,1,TITO'S VODKA,3.8,40.0,"DISTILLED FROM ANY AGRICULTURAL PRODUCT, MOST COMMONLY GRAINS OR POTATOES. TYPICALLY DISTILLED TO 95% ABV. WATER IS ADDED TO BRING THE SPIRIT DOWN TO AS LOW AS 37.5% ABV IN THE EU AND 40% ABV IN THE US. IT IS USUALLY FILTERED, OFTEN WITH CHARCOAL, PRIOR TO BOTTLING. IT IS ALMOST ALWAYS CLEAR AND UNAGED.","{""grain"":30,""earthy"":15,""spicy"":35,""herbal"":10,""oily"":15,""chemical"":0,""rich"":35,""sweet"":35,""mineral"":0,""neutral"":70,""harsh"":25,""bitter"":35,""fruity"":15,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/70824cf0-83bb-0135-c720-563b74da95d6/titos_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
1,2,ABSOLUT VODKA,3.1,40.0,"DISTILLED FROM ANY AGRICULTURAL PRODUCT, MOST COMMONLY GRAINS OR POTATOES. TYPICALLY DISTILLED TO 95% ABV. WATER IS ADDED TO BRING THE SPIRIT DOWN TO AS LOW AS 37.5% ABV IN THE EU AND 40% ABV IN THE US. IT IS USUALLY FILTERED, OFTEN WITH CHARCOAL, PRIOR TO BOTTLING. IT IS ALMOST ALWAYS CLEAR AND UNAGED.","{""grain"":75,""earthy"":20,""spicy"":15,""herbal"":15,""oily"":15,""chemical"":0,""rich"":45,""sweet"":35,""mineral"":15,""neutral"":70,""harsh"":0,""bitter"":20,""fruity"":10,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/e7062ac0-6819-0135-a98e-2a7e59f1f483/absolut_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
2,3,GREY GOOSE VODKA,3.78,40.0,"DISTILLED FROM ANY AGRICULTURAL PRODUCT, MOST COMMONLY GRAINS OR POTATOES. TYPICALLY DISTILLED TO 95% ABV. WATER IS ADDED TO BRING THE SPIRIT DOWN TO AS LOW AS 37.5% ABV IN THE EU AND 40% ABV IN THE US. IT IS USUALLY FILTERED, OFTEN WITH CHARCOAL, PRIOR TO BOTTLING. IT IS ALMOST ALWAYS CLEAR AND UNAGED.","{""grain"":40,""earthy"":30,""spicy"":30,""herbal"":15,""oily"":10,""chemical"":0,""rich"":35,""sweet"":30,""mineral"":10,""neutral"":80,""harsh"":0,""bitter"":25,""fruity"":15,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/5904c990-7c9d-0135-901d-3e0ce8badc98/grey_goose_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
3,4,KETEL ONE VODKA,3.9,40.0,"DISTILLED FROM ANY AGRICULTURAL PRODUCT, MOST COMMONLY GRAINS OR POTATOES. TYPICALLY DISTILLED TO 95% ABV. WATER IS ADDED TO BRING THE SPIRIT DOWN TO AS LOW AS 37.5% ABV IN THE EU AND 40% ABV IN THE US. IT IS USUALLY FILTERED, OFTEN WITH CHARCOAL, PRIOR TO BOTTLING. IT IS ALMOST ALWAYS CLEAR AND UNAGED.","{""grain"":80,""earthy"":20,""spicy"":35,""herbal"":0,""oily"":20,""chemical"":0,""rich"":60,""sweet"":35,""mineral"":15,""neutral"":30,""harsh"":0,""bitter"":30,""fruity"":15,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/9411eb50-8302-0135-909e-1a05d89bc99e/ketel_one_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
4,5,REYKA VODKA,4.19,40.0,"DISTILLED FROM ANY AGRICULTURAL PRODUCT, MOST COMMONLY GRAINS OR POTATOES. TYPICALLY DISTILLED TO 95% ABV. WATER IS ADDED TO BRING THE SPIRIT DOWN TO AS LOW AS 37.5% ABV IN THE EU AND 40% ABV IN THE US. IT IS USUALLY FILTERED, OFTEN WITH CHARCOAL, PRIOR TO BOTTLING. IT IS ALMOST ALWAYS CLEAR AND UNAGED.","{""grain"":70,""earthy"":20,""spicy"":45,""herbal"":15,""oily"":65,""chemical"":0,""rich"":50,""sweet"":25,""mineral"":15,""neutral"":20,""harsh"":15,""bitter"":35,""fruity"":15,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/c257feb0-88ff-0135-40f9-7aaa98deef23/reyka_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
5,6,BELVEDERE VODKA,4.02,40.0,"DISTILLED FROM ANY AGRICULTURAL PRODUCT, MOST COMMONLY GRAINS OR POTATOES. TYPICALLY DISTILLED TO 95% ABV. WATER IS ADDED TO BRING THE SPIRIT DOWN TO AS LOW AS 37.5% ABV IN THE EU AND 40% ABV IN THE US. IT IS USUALLY FILTERED, OFTEN WITH CHARCOAL, PRIOR TO BOTTLING. IT IS ALMOST ALWAYS CLEAR AND UNAGED.","{""grain"":80,""earthy"":35,""spicy"":70,""herbal"":10,""oily"":25,""chemical"":0,""rich"":45,""sweet"":30,""mineral"":10,""neutral"":80,""harsh"":0,""bitter"":20,""fruity"":10,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/a89e4380-6836-0135-6a41-7ae45e62f971/belvedere_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
6,7,SMIRNOFF NO. 21 VODKA,2.57,40.0,"DISTILLED FROM ANY AGRICULTURAL PRODUCT, MOST COMMONLY GRAINS OR POTATOES. TYPICALLY DISTILLED TO 95% ABV. WATER IS ADDED TO BRING THE SPIRIT DOWN TO AS LOW AS 37.5% ABV IN THE EU AND 40% ABV IN THE US. IT IS USUALLY FILTERED, OFTEN WITH CHARCOAL, PRIOR TO BOTTLING. IT IS ALMOST ALWAYS CLEAR AND UNAGED.","{""grain"":70,""earthy"":10,""spicy"":35,""herbal"":0,""oily"":40,""chemical"":0,""rich"":40,""sweet"":50,""mineral"":10,""neutral"":80,""harsh"":10,""bitter"":10,""fruity"":0,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/aa0c02a0-8874-0135-e32a-028f4ecfff0c/smirnoff_no21_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
7,8,RUSSIAN STANDARD VODKA,3.51,40.0,"DISTILLED FROM ANY AGRICULTURAL PRODUCT, MOST COMMONLY GRAINS OR POTATOES. TYPICALLY DISTILLED TO 95% ABV. WATER IS ADDED TO BRING THE SPIRIT DOWN TO AS LOW AS 37.5% ABV IN THE EU AND 40% ABV IN THE US. IT IS USUALLY FILTERED, OFTEN WITH CHARCOAL, PRIOR TO BOTTLING. IT IS ALMOST ALWAYS CLEAR AND UNAGED.","{""grain"":90,""earthy"":15,""spicy"":30,""herbal"":10,""oily"":40,""chemical"":0,""rich"":40,""sweet"":35,""mineral"":25,""neutral"":44,""harsh"":20,""bitter"":40,""fruity"":15,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/7513c440-82e7-0135-9094-1a05d89bc99e/russian_standard_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
8,9,SKYY VODKA (DISCONTINUED),2.57,40.0,"DISTILLED FROM ANY AGRICULTURAL PRODUCT, MOST COMMONLY GRAINS OR POTATOES. TYPICALLY DISTILLED TO 95% ABV. WATER IS ADDED TO BRING THE SPIRIT DOWN TO AS LOW AS 37.5% ABV IN THE EU AND 40% ABV IN THE US. IT IS USUALLY FILTERED, OFTEN WITH CHARCOAL, PRIOR TO BOTTLING. IT IS ALMOST ALWAYS CLEAR AND UNAGED.","{""grain"":30,""earthy"":10,""spicy"":20,""herbal"":10,""oily"":30,""chemical"":0,""rich"":65,""sweet"":35,""mineral"":0,""neutral"":85,""harsh"":30,""bitter"":15,""fruity"":0,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/31d76aa0-83b7-0135-9708-62678355ef86/skyy_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
9,10,WHEATLEY VODKA,4.04,40.0,"DISTILLED FROM ANY AGRICULTURAL PRODUCT, MOST COMMONLY GRAINS OR POTATOES. TYPICALLY DISTILLED TO 95% ABV. WATER IS ADDED TO BRING THE SPIRIT DOWN TO AS LOW AS 37.5% ABV IN THE EU AND 40% ABV IN THE US. IT IS USUALLY FILTERED, OFTEN WITH CHARCOAL, PRIOR TO BOTTLING. IT IS ALMOST ALWAYS CLEAR AND UNAGED.","{""grain"":85,""earthy"":65,""spicy"":75,""herbal"":35,""oily"":15,""chemical"":0,""rich"":85,""sweet"":15,""mineral"":60,""neutral"":45,""harsh"":25,""bitter"":0,""fruity"":0,""floral"":5}","https://ip-distiller.imgix.net/images/spirits/9eb43d00-884e-0135-e317-028f4ecfff0c/wheatley_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
10,11,CHOPIN POTATO VODKA,4.16,40.0,"DISTILLED FROM ANY AGRICULTURAL PRODUCT, MOST COMMONLY GRAINS OR POTATOES. TYPICALLY DISTILLED TO 95% ABV. WATER IS ADDED TO BRING THE SPIRIT DOWN TO AS LOW AS 37.5% ABV IN THE EU AND 40% ABV IN THE US. IT IS USUALLY FILTERED, OFTEN WITH CHARCOAL, PRIOR TO BOTTLING. IT IS ALMOST ALWAYS CLEAR AND UNAGED.","{""grain"":0,""earthy"":80,""spicy"":30,""herbal"":0,""oily"":20,""chemical"":0,""rich"":80,""sweet"":25,""mineral"":0,""neutral"":50,""harsh"":0,""bitter"":30,""fruity"":0,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/9129cbb0-6d9a-0135-f55b-16167c2d2409/chopin_potato_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
11,12,CÎROC VODKA,3.64,40.0,"DISTILLED FROM ANY AGRICULTURAL PRODUCT, MOST COMMONLY GRAINS OR POTATOES. TYPICALLY DISTILLED TO 95% ABV. WATER IS ADDED TO BRING THE SPIRIT DOWN TO AS LOW AS 37.5% ABV IN THE EU AND 40% ABV IN THE US. IT IS USUALLY FILTERED, OFTEN WITH CHARCOAL, PRIOR TO BOTTLING. IT IS ALMOST ALWAYS CLEAR AND UNAGED.",none,"https://ip-distiller.imgix.net/images/spirits/121f6ac0-6da1-0135-f561-16167c2d2409/ciroc_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
12,13,NEW AMSTERDAM VODKA,2.9,40.0,"DISTILLED FROM ANY AGRICULTURAL PRODUCT, MOST COMMONLY GRAINS OR POTATOES. TYPICALLY DISTILLED TO 95% ABV. WATER IS ADDED TO BRING THE SPIRIT DOWN TO AS LOW AS 37.5% ABV IN THE EU AND 40% ABV IN THE US. IT IS USUALLY FILTERED, OFTEN WITH CHARCOAL, PRIOR TO BOTTLING. IT IS ALMOST ALWAYS CLEAR AND UNAGED.","{""grain"":50,""earthy"":15,""spicy"":15,""herbal"":0,""oily"":50,""chemical"":0,""rich"":40,""sweet"":55,""mineral"":0,""neutral"":70,""harsh"":15,""bitter"":15,""fruity"":10,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/b0bd5e70-8d03-0135-c329-2a6c85e607e8/new_amsterdam_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
13,14,FINLANDIA VODKA,3.42,40.0,"DISTILLED FROM ANY AGRICULTURAL PRODUCT, MOST COMMONLY GRAINS OR POTATOES. TYPICALLY DISTILLED TO 95% ABV. WATER IS ADDED TO BRING THE SPIRIT DOWN TO AS LOW AS 37.5% ABV IN THE EU AND 40% ABV IN THE US. IT IS USUALLY FILTERED, OFTEN WITH CHARCOAL, PRIOR TO BOTTLING. IT IS ALMOST ALWAYS CLEAR AND UNAGED.",none,"https://ip-distiller.imgix.net/images/spirits/b177be10-77d9-0135-bf6a-7e5fdf6e1156/finlandia_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
14,15,BELUGA NOBLE RUSSIAN VODKA,3.9,40.0,"DISTILLED FROM ANY AGRICULTURAL PRODUCT, MOST COMMONLY GRAINS OR POTATOES. TYPICALLY DISTILLED TO 95% ABV. WATER IS ADDED TO BRING THE SPIRIT DOWN TO AS LOW AS 37.5% ABV IN THE EU AND 40% ABV IN THE US. IT IS USUALLY FILTERED, OFTEN WITH CHARCOAL, PRIOR TO BOTTLING. IT IS ALMOST ALWAYS CLEAR AND UNAGED.",none,"https://ip-distiller.imgix.net/images/spirits/3a1a4e80-6d80-0135-39a7-3ad3b1d8a20a/beluga_noble_russian_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
15,16,SVEDKA VODKA,2.74,40.0,"DISTILLED FROM ANY AGRICULTURAL PRODUCT, MOST COMMONLY GRAINS OR POTATOES. TYPICALLY DISTILLED TO 95% ABV. WATER IS ADDED TO BRING THE SPIRIT DOWN TO AS LOW AS 37.5% ABV IN THE EU AND 40% ABV IN THE US. IT IS USUALLY FILTERED, OFTEN WITH CHARCOAL, PRIOR TO BOTTLING. IT IS ALMOST ALWAYS CLEAR AND UNAGED.","{""grain"":30,""earthy"":30,""spicy"":35,""herbal"":0,""oily"":0,""chemical"":20,""rich"":35,""sweet"":20,""mineral"":0,""neutral"":85,""harsh"":20,""bitter"":30,""fruity"":0,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/531cb460-83c1-0135-7ba4-5649f137d059/svedka_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
