,순서,상품명,별점,도수,설명,맛과향,이미지
0,1,TITO'S VODKA,3.8,40.0,"Created by Bertito ""Tito"" Beveridge, a Texas native, this vodka sold its first bottles in 1997. His distillery located in Austin, Texas, is the first legal distillery in Texas since Prohibition. Millions of bottles have been sold since. Tito's is made from 100% corn and is gluten free.","{""grain"":30,""earthy"":15,""spicy"":35,""herbal"":10,""oily"":15,""chemical"":0,""rich"":35,""sweet"":35,""mineral"":0,""neutral"":70,""harsh"":25,""bitter"":35,""fruity"":15,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/70824cf0-83bb-0135-c720-563b74da95d6/titos_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
1,2,ABSOLUT VODKA,3.1,40.0,"Absolut is produced in the town of Åhus in Sweden from locally-grown winter wheat. First introduced to the US in 1979, its iconic apothecary bottle is recognizable around the world. Absolut was first introduced in 1879 as Absolut Rent Brännvin (absolutely pure vodka) by Lars Olsson Smith. It is he who adorns the silver medallion on each bottle.","{""grain"":75,""earthy"":20,""spicy"":15,""herbal"":15,""oily"":15,""chemical"":0,""rich"":45,""sweet"":35,""mineral"":15,""neutral"":70,""harsh"":0,""bitter"":20,""fruity"":10,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/e7062ac0-6819-0135-a98e-2a7e59f1f483/absolut_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
2,3,GREY GOOSE VODKA,3.78,40.0,Grey Goose launched in 1997 and is one of the first super premium vodkas to hit the market. It is made from French winter wheat sourced from farms in Picardy in northern France. It is column-distilled and sent to Cognac where demineralized spring water from the region is added to bring the vodka to proof.,"{""grain"":40,""earthy"":30,""spicy"":30,""herbal"":15,""oily"":10,""chemical"":0,""rich"":35,""sweet"":30,""mineral"":10,""neutral"":80,""harsh"":0,""bitter"":25,""fruity"":15,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/5904c990-7c9d-0135-901d-3e0ce8badc98/grey_goose_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
3,4,KETEL ONE VODKA,3.9,40.0,"First launched in 1983, Ketel One is made from 100% GMO-free European wheat. It is distilled in a combination of column and pot-distillation, including the original 19th century coal-fired pot still named ""Distilleerketel #1"". The image of this still, or ketel, adorns each bottle. The two distillates are blended together along with water to create this vodka. Bottled at 40% ABV.","{""grain"":80,""earthy"":20,""spicy"":35,""herbal"":0,""oily"":20,""chemical"":0,""rich"":60,""sweet"":35,""mineral"":15,""neutral"":30,""harsh"":0,""bitter"":30,""fruity"":15,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/9411eb50-8302-0135-909e-1a05d89bc99e/ketel_one_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
4,5,REYKA VODKA,4.19,40.0,"Reyka's distillery is located in the town of Bogarnes on the west coast of Iceland. Barley grain spirit (barley and some wheat) is brought to them from Scotland where it is redistilled in a single distillation in a copper-lined Carter-Head still. Each batch produces about 255 cases and takes six hours to complete. The vodka is filtered through lava rock and the water used to bring the vodka to proof is arctic spring water. The distillery is powered by geothermal energy from underground volcanoes and as a result, produces zero emissions.","{""grain"":70,""earthy"":20,""spicy"":45,""herbal"":15,""oily"":65,""chemical"":0,""rich"":50,""sweet"":25,""mineral"":15,""neutral"":20,""harsh"":15,""bitter"":35,""fruity"":15,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/c257feb0-88ff-0135-40f9-7aaa98deef23/reyka_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
5,6,BELVEDERE VODKA,4.02,40.0,"First introduced to the US in 1996 as a luxury vodka, Belvedere Vodka is distilled from 100% Polish Dankowskie rye. It is distilled using a four-column still process. Belvedere uses water drawn from wells situated in the grounds of the distillery to bring it to proof and then charcoal filters the vodka prior to bottling. The brand's name means ""beautiful to see"".","{""grain"":80,""earthy"":35,""spicy"":70,""herbal"":10,""oily"":25,""chemical"":0,""rich"":45,""sweet"":30,""mineral"":10,""neutral"":80,""harsh"":0,""bitter"":20,""fruity"":10,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/a89e4380-6836-0135-6a41-7ae45e62f971/belvedere_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
6,7,SMIRNOFF NO. 21 VODKA,2.57,40.0,"Smirnoff No. 21 Vodka, now made in several countries around the world, has origins in Russia. In 1864, Pyotr Smirnov founded his distillery in Moscow. Years later under his heirs' ownership, the distillery was lost during the Russian Revolution in 1917 when the Bolsheviks took control. Vladimir, one of the sons, fled and wound up in France where he established another distillery. He gave that distillery a French version of his last name, Smirnoff. In 1934, Vladimir sold the rights to Rudolph Kunett to sell Smirnoff in the US and Canada where Kunett had established a distillery in Connecticut. The ownership has changed a few times, but is now owned by Diageo. Smirnoff is distilled via continuous distillation and made from grain. It is charcoal filtered and bottled at 40% ABV. Note: As of October 2018, Smirnoff No. 21 is now made with non-GMO grain, specifically non-GMO corn. It is gluten free. Updated packaging as well.","{""grain"":70,""earthy"":10,""spicy"":35,""herbal"":0,""oily"":40,""chemical"":0,""rich"":40,""sweet"":50,""mineral"":10,""neutral"":80,""harsh"":10,""bitter"":10,""fruity"":0,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/aa0c02a0-8874-0135-e32a-028f4ecfff0c/smirnoff_no21_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
7,8,RUSSIAN STANDARD VODKA,3.51,40.0,Russian Standard is the entry-level vodka in this portfolio. It is distilled in St. Petersburg from 100% Russian winter wheat and filtered through charcoal and quartz crystal. Bottled at 40% ABV.,"{""grain"":90,""earthy"":15,""spicy"":30,""herbal"":10,""oily"":40,""chemical"":0,""rich"":40,""sweet"":35,""mineral"":25,""neutral"":44,""harsh"":20,""bitter"":40,""fruity"":15,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/7513c440-82e7-0135-9094-1a05d89bc99e/russian_standard_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
8,9,SKYY VODKA (DISCONTINUED),2.57,40.0,"Created in California in 1992, SKYY is distilled via four-column distillation from 100% American grains. It uses pure filtered water and is triple-filtered. Made in the USA. Please note: As of May 2021, SKYY Vodka has been reformulated to include water enriched with Pacific minerals. The brand has also updated its packaging for the bottle.","{""grain"":30,""earthy"":10,""spicy"":20,""herbal"":10,""oily"":30,""chemical"":0,""rich"":65,""sweet"":35,""mineral"":0,""neutral"":85,""harsh"":30,""bitter"":15,""fruity"":0,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/31d76aa0-83b7-0135-9708-62678355ef86/skyy_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
9,10,WHEATLEY VODKA,4.04,40.0,"Wheatley Vodka is distilled at the Buffalo Trace Distillery under supervision by master distiller, Harlen Wheatley and his team. Primarily a wheat-based vodka, there are other grains that are used in its production. Distilled in a ""micro-still"", the vodka is triple-filtered and bottled at 82 proof.","{""grain"":85,""earthy"":65,""spicy"":75,""herbal"":35,""oily"":15,""chemical"":0,""rich"":85,""sweet"":15,""mineral"":60,""neutral"":45,""harsh"":25,""bitter"":0,""fruity"":0,""floral"":5}","https://ip-distiller.imgix.net/images/spirits/9eb43d00-884e-0135-e317-028f4ecfff0c/wheatley_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
