NUM,NAME,SCORE,ABV,DES,TASTE,IMG
1,ŻUBRÓWKA BISON GRASS VODKA,4.08,40,"This Polish rye-based vodka is flavored with grass from the Białowieża Forest in northeastern Poland, one of the last and largest primeval forests in the world. It is here where Polish bison roam among the grass. The grass is harvested each June or July, dried, and cut to size. The grass is bundled into small batches and the vodka is pressed through capturing its flavor. A single blade of grass is inserted into each bottle. Note: In the US, the vodka, sold as ""Zu Vodka"", is artificially flavored as coumarin found in the original is not permitted.",none,"https://ip-distiller.imgix.net/images/spirits/ecc017c0-8846-0135-bed5-0e6cfe74208a/zubrowka_bison_grass_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
2,ABSOLUT CITRON,2.95,40,"Citron was first launched in 1988, the second flavored vodka in Absolut's portfolio. Taking Absolut's standard vodka made with winter wheat as its base, Citron uses only natural ingredients--lemon primarily although some lime is used. No sugar has been added. It is the quintessential vodka for your Cosmopolitan.","{""grain"":40,""earthy"":15,""spicy"":15,""herbal"":0,""oily"":15,""chemical"":15,""rich"":40,""sweet"":20,""mineral"":10,""neutral"":15,""harsh"":10,""bitter"":10,""fruity"":75,""floral"":20}","https://ip-distiller.imgix.net/images/spirits/9ce39a10-681c-0135-a98f-2a7e59f1f483/absolut_citron_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
3,NEW AMSTERDAM PINK WHITNEY,4.09,30,none,none,"https://ip-distiller.imgix.net/images/spirits/b3a16ea0-510b-0138-143d-02bfc0bf3de5/data_tile.?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=&amp;mark-align=top,left&amp;mark-pad=0&amp;mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/vodka_tag.png"
4,ABSOLUT VANILLA,3.18,40,Absolut Vanilla launched in 2003. It is made using Absolut's standard winter-wheat-based vodka and natural flavors. No sugar is added.,none,"https://ip-distiller.imgix.net/images/spirits/f0b79a10-6823-0135-a992-2a7e59f1f483/absolute_vanilla_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
5,RUSSIAN STANDARD GOLD,4.04,40,"This bottling in the Russian Standard Vodka portfolio is distilled from 100% Russian winter wheat as are the rest of their vodkas. But this vodka is flavored with Siberian golden root, or ginseng. Bottled at 40% ABV.",none,"https://ip-distiller.imgix.net/images/spirits/656d1d90-82eb-0135-2aae-7ee8aa06b987/russian_standard_gold_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
6,ABSOLUT LIME,3.38,40,Absolut Lime was introduced in January 2017. It is made using Absolut's standard winter-wheat-based vodka as a base with citrus flavor added. No sugar added. Bottled at 40% ABV.,"{""grain"":15,""earthy"":0,""spicy"":10,""herbal"":15,""oily"":15,""chemical"":0,""rich"":35,""sweet"":45,""mineral"":0,""neutral"":0,""harsh"":0,""bitter"":35,""fruity"":80,""floral"":10}","https://ip-distiller.imgix.net/images/spirits/33a60e10-9dd0-0136-8782-7a8027cb37d9/absolut_lime_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
7,CÎROC PEACH,3.45,35,"First launched in 2012, this flavored vodka from CÎROC uses its flagship grape-based vodka along with peach and other natural flavors. Bottled at 35% or 37.5% ABV depending on your location.",none,"https://ip-distiller.imgix.net/images/spirits/dde193b0-91e0-0135-089d-66ddb6ba0fcc/ciroc_peach_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
8,ABSOLUT MANDRIN,3.44,40,"Absolut Mandrin was first released in 1999, the fourth flavor in Absolut's arsenal. It is made using Absolut's standard winter-wheat-based vodka with orange, mandarin, and citrus flavor. No sugar added. Bottled at 40% ABV.","{""grain"":15,""earthy"":0,""spicy"":20,""herbal"":0,""oily"":15,""chemical"":0,""rich"":50,""sweet"":40,""mineral"":0,""neutral"":60,""harsh"":5,""bitter"":20,""fruity"":75,""floral"":35}","https://ip-distiller.imgix.net/images/spirits/bb6742d0-8d25-0135-3e99-7239d2a0be31/absolut_mandrin_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
9,SMIRNOFF VANILLA,2.7,30,Vanilla is part of Smirnoff's Confections flavored vodka line. It uses the classic grain-based No. 21 vodka as its base. Formerly sold as Twist of Vanilla. Bottled at 30% ABV.,none,"https://ip-distiller.imgix.net/images/spirits/f4bc38c0-944f-0135-6e2a-4ebc2b91c234/smirnoff_vanilla_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
10,ST. GEORGE GREEN CHILE VODKA,4.34,40,"The multi-step process required for this vodka starts with filling a still with jalapeño, lime peel, and a non-GMO base spirit which passes through a chamber packed with fresh cilantro. The resulting spirit is then separated into parts and individually macerates with even more peppers: Serrano, habanero, red and yellow sweet bell before being carefully blended back together. Then this concoction is lightly-filtered and still maintains a slight green glow.","{""grain"":0,""earthy"":45,""spicy"":95,""herbal"":65,""oily"":30,""chemical"":0,""rich"":55,""sweet"":45,""mineral"":0,""neutral"":85,""harsh"":0,""bitter"":0,""fruity"":75,""floral"":45}","https://ip-distiller.imgix.net/images/spirits/268169e0-884a-0135-bed7-0e6cfe74208a/st_george_green_chile_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
